identifier,label,coupling,mean_first_order,mean_second_order,std_real_second_order,selected_scalar,increment_cv,radial_permutation_entropy,weak_record_in_released_residual_pair
audit-kuramoto-0-093,0,3.7079827997047032,0.9994100766377731,0.9976419925323098,0.7020925037664235,-0.2629975726752681,0.4504638523600001,0.5859739930217455,False
audit-kuramoto-0-094,0,3.0373763087372243,0.9967161220738789,0.9869068977756102,0.7008813319020991,-0.35840923519812884,0.42082331700322534,0.6022196867721104,False
audit-kuramoto-0-095,0,3.9285894044861633,0.998073466549396,0.9923136324792379,0.7001203317684283,-0.2969561979224585,0.434386831921562,0.5845788382961937,False
audit-kuramoto-0-096,0,3.741261768089858,0.9998467394497634,0.9993870659158083,0.7099597728043394,-0.2919107915672235,0.4293104394501115,0.5748396224814937,False
audit-kuramoto-0-097,0,3.789074360335009,0.9988650264071174,0.9954657242341006,0.699883631047035,-0.3385390984246493,0.44375416494333125,0.6225412091622456,False
audit-kuramoto-0-098,0,3.372538904587079,0.9983391962953738,0.9933681593788896,0.7068809552526532,-0.2999567937994748,0.44080342185900867,0.5949966736548745,False
audit-kuramoto-0-099,0,2.9051599347489727,0.9965301647503506,0.986186666240148,0.6989556586788462,-0.322904103154356,0.4318291960792628,0.5964135095181682,False
audit-kuramoto-0-100,0,3.234081715751154,0.9950030395525002,0.9800985082392408,0.6980977513671405,-0.29435424056168313,0.439886749006385,0.5904420810879003,False
audit-kuramoto-0-101,0,3.998990080889926,0.9977675719754958,0.9910888719819425,0.7038843059753659,-0.30348831579821106,0.43440292322857027,0.5884316718460769,False
audit-kuramoto-0-102,0,3.4656471020693385,0.9952767746101401,0.9811750138788202,0.6981955668094324,-0.3190206517515121,0.43396946292230504,0.5970463938863455,False
audit-kuramoto-0-103,0,3.1104870643317577,0.9978452443525552,0.9913994510096084,0.6973352449755742,-0.32333789625708714,0.42322202602004044,0.5847794820818712,False
audit-kuramoto-0-104,0,3.021212569508613,0.9861476021113585,0.9454610192365366,0.6752395041657633,-0.3537866324999,0.40382572505205633,0.5752300481343039,False
audit-kuramoto-0-105,0,3.7447078930199864,0.9969465714590735,0.9878303128474835,0.6984504158082485,-0.3224413339466629,0.43176255983625655,0.5960455806361544,False
audit-kuramoto-0-106,0,2.9697560034442563,0.9985849351738203,0.9943495755722122,0.7038207044322415,-0.30233224055829505,0.4246844996315718,0.5746026627386435,False
audit-kuramoto-0-107,0,3.4306142938389224,0.9970192259564199,0.9880976814190987,0.6948614741305259,-0.24799297570402382,0.4443567648307492,0.5694213902129915,False
audit-kuramoto-0-108,0,3.5590032524718684,0.9987246000423371,0.9949049424376051,0.700350327813424,-0.25804562477724935,0.4460224536133419,0.5773305159594689,False
audit-kuramoto-0-109,0,3.1404275541663713,0.9943773857231442,0.9776220975951921,0.6934593810608227,-0.3387414688914032,0.4259004915159254,0.597615278879202,False
audit-kuramoto-0-110,0,3.7431125417134625,0.9994805773873467,0.9979231383932191,0.705448368243315,-0.2483849719413671,0.4440811769264924,0.5692913541724852,False
audit-kuramoto-0-111,0,3.3877936430406064,0.9992605683036668,0.997044436504511,0.7100008769929899,-0.32869149644933954,0.44169124300608265,0.6135750513942021,False
audit-kuramoto-0-112,0,3.834521989736193,0.9996270546470423,0.9985086671464728,0.7065006198836836,-0.2909607263446379,0.4458459583508541,0.5964135095181682,False
audit-kuramoto-0-113,0,3.8601060760638775,0.9972364912418015,0.98896811627046,0.7006200314975467,-0.29305971472178116,0.44553314063470256,0.5972473499971882,False
audit-kuramoto-0-114,0,3.2028513094202253,0.9967384480206831,0.9870156596129684,0.6956839329622561,-0.30541491649549807,0.42538728097867146,0.5773305159594689,False
audit-kuramoto-0-115,0,3.0673840297435677,0.9993755824241555,0.9975041021834166,0.7039950855630712,-0.31129183758535495,0.4422034355063641,0.6036906366279351,False
audit-kuramoto-0-116,0,3.736005916669879,0.9983326899034128,0.9933397192455666,0.7025861224794093,-0.29063661591797174,0.4364213563247902,0.5836169188724349,False
audit-kuramoto-0-117,0,3.8397401345544897,0.9993683843950039,0.9974753991660761,0.7048297555204023,-0.26953679111536927,0.45982414508747854,0.6020743331813149,False
audit-kuramoto-0-118,0,3.1659273445762373,0.9975977026581866,0.9904195906676014,0.7002729359326972,-0.3022279105476403,0.44172491174651174,0.5975961718042175,False
audit-kuramoto-0-119,0,2.816345845840836,0.9965796426599215,0.9863664589246781,0.7004677421026024,-0.33498213830248197,0.4371844299808208,0.6111468546408284,False
audit-kuramoto-1-000,1,0.15677922585845408,0.2853503458699784,0.45580463419099493,0.3470870329703341,-1.115158593560903,0.21514090873621683,0.6561909307766897,False
audit-kuramoto-1-001,1,0.28426538541054874,0.33819486377572444,0.3497731838953822,0.2831585317746547,-1.2310306776028304,0.20662677108709557,0.7076465944130886,False
audit-kuramoto-1-002,1,0.05857705966905762,0.3910116899868279,0.3581847155436335,0.27236513070620283,-1.5338928906335596,0.1601452996968401,0.7424640275623733,False
audit-kuramoto-1-003,1,0.12195993996402127,0.37545788753509435,0.42001221152650275,0.3257777732943557,-1.0815170149435496,0.23662039697175036,0.6978290608241232,False
audit-kuramoto-1-004,1,0.06890673604141431,0.5142984841075231,0.5529101507434411,0.4165620444546408,-0.7826909237252175,0.2655695410160789,0.5808936286583496,False
audit-kuramoto-1-005,1,0.16524703666070073,0.6125720824293402,0.4804107244354838,0.3750375292976211,-1.0409337150434061,0.23732444649493267,0.6720695923918454,False
audit-kuramoto-1-006,1,0.3281526211858893,0.6186795732759254,0.33608317182518327,0.25594418951747944,-1.365611405883423,0.20421776430490982,0.8001492766825786,False
audit-kuramoto-1-007,1,0.25328998563919924,0.42913608943312165,0.4286670211790974,0.3358884649971722,-1.1384322900745305,0.22069115402542472,0.6889691701146582,False
audit-kuramoto-1-008,1,0.24687162249048078,0.77462915703366,0.6677552444398791,0.4818298736106122,-0.73318437982124,0.3011453124610399,0.6268938922515902,True
audit-kuramoto-1-009,1,0.3474443785072306,0.6604379237920851,0.5699437369933595,0.4290553966785098,-0.9823216215940187,0.24911796455195456,0.6653067161422983,False
audit-kuramoto-1-010,1,0.41535853188675675,0.5951183492951373,0.2812288544720057,0.20404193254920813,-1.6160558540558514,0.14488481587871685,0.7292341786024422,False
audit-kuramoto-1-011,1,0.27442879071117326,0.44614598693741436,0.4230778593365292,0.337874916046115,-1.1537005291772784,0.22846118269545707,0.7241994582629269,False
audit-kuramoto-1-012,1,0.3418689115867386,0.6314914539424833,0.565188339531052,0.42170018046578894,-0.7142486493304951,0.307646060013488,0.6284136433377486,False
audit-kuramoto-1-013,1,0.07875686691511885,0.49565147302499524,0.38035060910744567,0.3138810697358823,-1.2018069133532252,0.2388601404088527,0.7944778531234254,False
audit-kuramoto-1-014,1,0.1959140405489259,0.5220485966121187,0.474841496967362,0.3816810819788687,-1.0200420836553312,0.24169165790597258,0.6702862494738849,False
audit-kuramoto-1-015,1,0.32245735549210475,0.5352513557185569,0.5042672390779104,0.4034463962316402,-1.0111717304809287,0.2619035763965619,0.7199257919132026,False
audit-kuramoto-1-016,1,0.11511900678225295,0.3170669811588807,0.31417273642635446,0.25127989066564516,-1.6489441307168193,0.15565407566183637,0.8096323188271064,False
audit-kuramoto-1-017,1,0.19114326662121672,0.46605589459009694,0.4280091841509231,0.3259160551762252,-1.3163927280217869,0.2006501147303714,0.7484133259612347,False
audit-kuramoto-1-018,1,0.3795040105681307,0.5540689596195174,0.29232122498403323,0.22506412200767292,-1.6470194532419626,0.14902534632091352,0.7736625987907569,False
